Article ID	Pub. Year	Authors	Affiliations	Title	Recommendation 1	Recommendation 2	Recommendation 3	Recommendation 4	Recommendation 5	Recommendation 6	Recommendation 7	Recommendation 8	Recommendation 9	Recommendation 10	url
000011	2007	Steve F. Anderson	University of Southern California	Aporias of the Digital Avant-Garde	000361	000120	000122	000139	000193	000276	000541	000389	000409	000369	https://digitalhumanities.org/dhq/vol/1/2/000011/000011.html
000012	2007	David Hoover	New York University	The End of the Irrelevant Text: Electronic Texts, Linguistics, and Literary Theory	000183	000286	000687	000144	000044	000730	000097	000203	000683	000371	https://digitalhumanities.org/dhq/vol/1/2/000012/000012.html
000013	2007	Melissa Terras	University College London	DHQ in the Public Eye	000029	000088	000375	000047	000051	000327	000628	000213	000193	000701	https://digitalhumanities.org/dhq/vol/1/2/000013/000013.html
000014	2007	Ernesto Priani Saisó	Universidad Nacional Autónoma de México	Revista Digital Universitaria: A Workshop of Digital Editing at the Universidad Nacional Autónoma de México	000029	000020	000047	000460	000170	000035	000169	000319	000090	000184	https://digitalhumanities.org/dhq/vol/1/2/000014/000014.html
000015	2008	Belinda Barnet	Swinburne University of Technology, Melbourne	The Technical Evolution of Vannevar Bush’s Memex	000193	000020	000196	000108	000146	000202	000172	000170	000541	000409	https://digitalhumanities.org/dhq/vol/2/1/000015/000015.html
000016	2008	Richard Cunningham | David Duke | John Eustace | Anna Galway | Erin Patterson	Acadia University | Acadia University | Acadia University |  | Acadia University	The Humanities HyperMedia Centre @ Acadia University: An Invitation to Think About Higher Education	000320	000312	000306	000319	000478	000330	000302	000322	000227	000404	https://digitalhumanities.org/dhq/vol/2/1/000016/000016.html
000017	2008	Mark C. Marino	University of Southern California	Review: The Electronic Literature Collection Volume I: A New Media Primer	000046	000075	000013	000162	000029	000139	000150	000014	000657	000047	https://digitalhumanities.org/dhq/vol/2/1/000017/000017.html
000018	2008	Patricia Tomaszek	Siegen University	Conference Review: Reading Digital Literature at Brown University, October 4-7, 2007.	000046	000160	000308	000409	000048	000017	000307	000146	000087	000051	https://digitalhumanities.org/dhq/vol/2/1/000018/000018.html
000019	2008	Gerhard Jan Nauta	Leiden University	As You Can See: Applying Visual Collaborative Filtering to Works of Art	000227	000145	000078	000123	000202	000184	000146	000159	000074	000384	https://digitalhumanities.org/dhq/vol/2/1/000019/000019.html
000020	2008	Wendell Piez	Mulberry Technologies, Inc.	Something Called "Digital Humanities"	000014	000046	000172	000051	000077	000209	000150	000134	000202	000015	https://digitalhumanities.org/dhq/vol/2/1/000020/000020.html
000021	2009	Gregory Crane | Brent Seales | Melissa Terras	Tufts University | University of Kentucky | University College London	Acknowledgements and Dedications	000444	000651	000245	000538	000023	000447	000546	000395	000029	000396	https://digitalhumanities.org/dhq/vol/3/1/000021/000021.html
000022	2009	Dot Porter	Digital Humanities Observatory	Ross Scaife (1960-2008)	000336	000119	000163	000628	000127	000055	000080	000701	000134	000095	https://digitalhumanities.org/dhq/vol/3/1/000022/000022.html
000023	2009	Gregory Crane | Brent Seales | Melissa Terras	Tufts University | University of Kentucky | University College London	Cyberinfrastructure for Classical Philology	000034	000035	000033	000030	000029	000671	000134	000247	000632	000014	https://digitalhumanities.org/dhq/vol/3/1/000023/000023.html
000024	2009	Christopher Blackwell | Thomas R. Martin	Furman University | College of the Holy Cross	Technology, Collaboration, and Undergraduate Research	000385	000215	000252	000306	000425	000028	000393	000438	000380	000494	https://digitalhumanities.org/dhq/vol/3/1/000024/000024.html
000025	2009	Anne Mahoney	Tufts University	Tachypaedia Byzantina: The Suda On Line as Collaborative Encyclopedia	000029	000184	000031	000709	000683	000173	000350	000047	000510	000393	https://digitalhumanities.org/dhq/vol/3/1/000025/000025.html
000026	2009	Bruce Robertson	Mount Allison University	Exploring Historical RDF with Heml	000078	000146	000105	000031	000244	000296	000534	000196	000123	000019	https://digitalhumanities.org/dhq/vol/3/1/000026/000026.html
000027	2009	Jeffrey A. Rydberg-Cox	University of Missouri-Kansas City	Digitizing Latin Incunabula: Challenges, Methods, and Possibilities	000058	000449	000125	000034	000030	000071	000442	000004	000029	000382	https://digitalhumanities.org/dhq/vol/3/1/000027/000027.html
000028	2009	Neel Smith	College of the Holy Cross	Citation in Classical Studies	000181	000424	000245	000350	000111	000463	000061	000279	000672	000255	https://digitalhumanities.org/dhq/vol/3/1/000028/000028.html
000029	2009	Casey Dué | Mary Ebbott	University of Houston, Texas | College of the Holy Cross	Digital Criticism: Editorial Standards for the Homer Multitext	000447	000025	000014	000030	000003	000035	000031	000047	000150	000013	https://digitalhumanities.org/dhq/vol/3/1/000029/000029.html
000030	2009	Hugh Cayless | Charlotte Roueché | Tom Elliott | Gabriel Bodard	University of North Carolina | King's College London | New York University | King's College London	Epigraphy in 2017	000447	000029	000035	000247	000034	000023	000033	000382	000027	000683	https://digitalhumanities.org/dhq/vol/3/1/000030/000030.html
000031	2009	Tom Elliott | Sean Gillies	New York University | New York University	Digital Geography and Classics	000025	000029	000003	000184	000123	000467	000047	000652	000538	000057	https://digitalhumanities.org/dhq/vol/3/1/000031/000031.html
000032	2009	Raphael Finkel | Gregory Stump	University of Kentucky | University of Kentucky	What Your Teacher Told You is True: Latin Verbs Have Four Principal Parts	000357	000033	000730	000014	000023	000146	000170	000454	000563	000012	https://digitalhumanities.org/dhq/vol/3/1/000032/000032.html
000033	2009	David Bamman | Gregory Crane	Tufts University | Tufts University	Computational Linguistics and Classical Lexicography	000034	000023	000035	000297	000170	000074	000247	000030	000392	000134	https://digitalhumanities.org/dhq/vol/3/1/000033/000033.html
000034	2009	Gregory Crane | Alison Babeu | David Bamman | Thomas Breuel | Lisa Cerrato | Daniel Deckers | Anke Lüdeling | David Mimno | Rashmi Singhal | David A. Smith | Amir Zeldes	Tufts University | Tufts University | Tufts University | Technical University of Kaiserslautern | Tufts University | Hamburg University | Humboldt-University, Berlin | University of Massachusetts, Amherst | Tufts University | University of Massachusetts, Amherst | Humboldt-University, Berlin	Classics in the Million Book Library	000035	000023	000033	000327	000510	000227	000029	000170	000475	000734	https://digitalhumanities.org/dhq/vol/3/1/000034/000034.html
000035	2009	Christopher Blackwell | Gregory Crane	Furman University | Tufts University	Conclusion: Cyberinfrastructure, the Scaife Digital Library and Classics in a Digital age	000034	000023	000033	000029	000667	000444	000014	000215	000438	000370	https://digitalhumanities.org/dhq/vol/3/1/000035/000035.html
000036	2009	Gregory Nagy | James O'Donnell	Harvard University | Georgetown University	Foreword	000215	000552	000320	000715	000484	000670	000531	000304	000233	000667	https://digitalhumanities.org/dhq/vol/3/1/000036/000036.html
000037	2009	Matthew G. Kirschenbaum	University of Maryland	Done: Finishing Projects in the Digital Humanities	000667	000714	000308	000617	000635	000220	000163	000004	000519	000370	https://digitalhumanities.org/dhq/vol/3/2/000037/000037.html
000038	2009	William A. Kretzschmar, Jr.	University of Georgia	Large-Scale Humanities Computing Projects: Snakes Eating Tails, or Every End is a New Beginning?	000667	000661	000319	000473	000337	000031	000184	000470	000073	000652	https://digitalhumanities.org/dhq/vol/3/2/000038/000038.html
000039	2009	David Sewell	University of Virginia Press	It’s For Sale, So It Must Be Finished: Digital Projects in the Scholarly Publishing World	000020	000473	000014	000077	000411	000029	000741	000007	000401	000284	https://digitalhumanities.org/dhq/vol/3/2/000039/000039.html
000040	2009	Susan Brown | Patricia Clements | Isobel Grundy | Stan Ruecker | Jeffery Antoniuk | Sharon Balazs	University of Guelph | University of Alberta | University of Alberta | University of Alberta | University of Alberta | University of Alberta	Published Yet Never Done: The Tension Between Projection and Completion in Digital Humanities Research	000670	000179	000455	000173	000047	000524	000084	000715	000159	000169	https://digitalhumanities.org/dhq/vol/3/2/000040/000040.html
000041	2009	Shlomo Argamon | Mark Olsen	Linguistic Cognition Lab, Dept. of Computer Science, Illinois Institute of Technology | ARTFL Project, University of Chicago	Words, Patterns and Documents: Experiments in Machine Learning and Text Analysis	000034	000044	000042	000183	000043	000738	000286	000476	000333	000730	https://digitalhumanities.org/dhq/vol/3/2/000041/000041.html
000042	2009	Shlomo Argamon | Jean-Baptiste Goulain | Russell Horton | Mark Olsen	Linguistic Cognition Lab, Dept. of Computer Science, Illinois Institute of Technology | Linguistic Cognition Lab, Dept. of Computer Science, Illinois Institute of Technology | Digital Library Development Center, University of Chicago | ARTFL Project, University of Chicago	Vive la Différence! Text Mining Gender Difference in French Literature	000263	000043	000673	000170	000041	000469	000730	000291	000045	000244	https://digitalhumanities.org/dhq/vol/3/2/000042/000042.html
000043	2009	Shlomo Argamon | Charles Cooney | Russell Horton | Mark Olsen | Sterling Stein | Robert Voyer	Linguistic Cognition Lab, Dept. of Computer Science, Illinois Institute of Technology, Chicago | ARTFL Project, University of Chicago | Digital Library Development Center, University of Chicago | ARTFL Project, University of Chicago | Linguistic Cognition Lab, Dept. of Computer Science, Illinois Institute of Technology, Chicago | Powerset	Gender, Race, and Nationality in Black Drama, 1950-2006: Mining Differences in Language Use in Authors and their Characters	000211	000045	000216	000042	000510	000044	000709	000476	000400	000034	https://digitalhumanities.org/dhq/vol/3/2/000043/000043.html
000044	2009	Russell Horton | Robert Morrissey | Mark Olsen | Glenn Roe | Robert Voyer	Digital Library Development Center, University of Chicago | University of Chicago | ARTFL Project, University of Chicago | ARTFL Project, University of Chicago | Powerset	Mining Eighteenth Century Ontologies: Machine Learning and Knowledge Classification in the Encyclopédie	000097	000012	000377	000283	000434	000237	000447	000144	000382	000140	https://digitalhumanities.org/dhq/vol/3/2/000044/000044.html
000045	2009	Sean Ross Meehan	Washington College, Chesterton, MD	Text Minding: "A Response to Gender, Race, and Nationality in Black Drama, 1850-2000: Mining Differences in Language Use in Authors and their Characters"	000043	000042	000170	000377	000223	000343	000041	000400	000153	000446	https://digitalhumanities.org/dhq/vol/3/2/000045/000045.html
000046	2009	Scott Rettberg	The University of Bergen Dept. of Literary, Linguistic, and Aesthetic Studies	Communitizing Electronic Literature	000017	000087	000018	000020	000047	000616	000151	000193	000153	000051	https://digitalhumanities.org/dhq/vol/3/2/000046/000046.html
000047	2009	Sarah Toton | Stacey Martin	Emory University | Emory University	Teaching and Learning from the U.S. South in Global Contexts: A Case Study of Southern Spaces and Southcomb	000119	000184	000029	000303	000173	000070	000025	000159	000588	000085	https://digitalhumanities.org/dhq/vol/3/2/000047/000047.html
000048	2009	Johanna Drucker	University of California, Los Angeles	A Review of Matthew Kirschenbaum, Mechanisms: New Media and the Forensic Imagination Cambridge, MA and London, UK: MIT University Press, 2008	000389	000047	000002	000150	000139	000144	000051	000140	000018	000146	https://digitalhumanities.org/dhq/vol/3/2/000048/000048.html
000049	2009	Eric Gordon | David Bogen	Emerson College | Rhode Island School of Design	Designing Choreographies for the "New Economy of Attention"	000118	000180	000685	000120	000386	000320	000109	000242	000219	000385	https://digitalhumanities.org/dhq/vol/3/2/000049/000049.html
000050	2009	Amy Earhart | Maura Ives	Texas A&M University | Texas A&M University	Introduction	000677	000080	000077	000079	000177	000055	000133	000311	000478	000134	https://digitalhumanities.org/dhq/vol/3/3/000050/000050.html
000051	2009	Peter M. W. Robinson	University of Birmingham	The Ends of Editing	000150	000088	000020	000054	000018	000048	000014	000046	000047	000212	https://digitalhumanities.org/dhq/vol/3/3/000051/000051.html
000052	2009	Morris Eaves	University of Rochester	Picture Problems: X-Editing Images 1992-2010	000124	000117	000275	000007	000122	000048	000061	000165	000029	000025	https://digitalhumanities.org/dhq/vol/3/3/000052/000052.html
000053	2009	Kenneth M. Price	University of Nebraska-Lincoln	Edition, Project, Database, Archive, Thematic Research Collection: What's in a Name?	000175	000424	000181	000028	000144	000328	000174	000523	000206	000196	https://digitalhumanities.org/dhq/vol/3/3/000053/000053.html
000054	2009	Peter Shillingsburg	Loyola University Chicago	How Literary Works Exist: Convenient Scholarly Editions	000215	000151	000150	000320	000051	000227	000090	000107	000088	000025	https://digitalhumanities.org/dhq/vol/3/3/000054/000054.html
000055	2009	Julia Flanders	Brown University	The Productive Unease of 21st-century Digital Scholarship	000311	000127	000077	000133	000079	000177	000080	000163	000213	000119	https://digitalhumanities.org/dhq/vol/3/3/000055/000055.html
000056	2009	Olin Bjork	Georgia Institute of Technology	Reinventing the Classroom Edition: Paradise Lost Book IX Flash Audiotext	000507	000173	000169	000538	000081	000121	000469	000075	000397	000159	https://digitalhumanities.org/dhq/vol/3/3/000056/000056.html
000057	2009	Amy Earhart	Texas A&M University	Mapping Concord: Google Maps and the 19th-Century Concord Digital Archive	000031	000184	000173	000091	000146	000415	000294	000003	000052	000337	https://digitalhumanities.org/dhq/vol/3/3/000057/000057.html
000058	2009	Eugene Lyman	University of Rhode Island	"May the Text Rise up to Meet You": New Ways of Reading Old Manuscripts	000027	000227	000414	000314	000382	000574	000062	000140	000558	000734	https://digitalhumanities.org/dhq/vol/3/3/000058/000058.html
000059	2009	Laura Mandell	Miami University of Ohio	The Poetess Archive Database	000184	000061	000227	000651	000404	000372	000502	000469	000523	000174	https://digitalhumanities.org/dhq/vol/3/3/000059/000059.html
000060	2009	Aimee Roundtree	University of Houston-Downtown	Simulated Visuals: Some Rhetorical and Ethical Implications	000091	000146	000332	000397	000339	000057	000402	000067	000619	000414	https://digitalhumanities.org/dhq/vol/3/3/000060/000060.html
000061	2009	Eduardo Urbina | Richard Furuta | Steven E. Smith	Texas A&M University | Texas A&M University | Texas A&M University	Cervantes Project: The Digital Quixote Iconography Collection	000670	000059	000175	000586	000173	000174	000515	000179	000184	000003	https://digitalhumanities.org/dhq/vol/3/3/000061/000061.html
000062	2009	Wesley Raabe	Kent State University	Over Uncle Tom's Dead Body: Publication Context and Textual Variation in Harriet Beecher Stowe's Uncle Tom's Cabin	000447	000029	000197	000574	000382	000595	000108	000058	000140	000257	https://digitalhumanities.org/dhq/vol/3/3/000062/000062.html
000063	2009	Katheryn Giglio | John Venecek	University of Central Florida (English Department) | University of Central Florida Libraries	The Radical Historicity of Everything: Exploring Shakespearean Identity with Web 2.0	000320	000047	000031	000092	000322	000197	000070	000319	000029	000478	https://digitalhumanities.org/dhq/vol/3/3/000063/000063.html
000064	2009	Jerome McDonough	Graduate School of Library and Information Science, University of Illinois at Urbana-Champaign	XML, Interoperability and the Social Construction of Markup Languages: The Library Example	000449	000344	000028	000035	000392	000201	000211	000004	000015	000270	https://digitalhumanities.org/dhq/vol/3/3/000064/000064.html
000065	2009	Patrik Svensson	Umeå University	Humanities Computing as Digital Humanities	000020	000121	000081	000172	000091	000108	000369	000083	000080	000140	https://digitalhumanities.org/dhq/vol/3/3/000065/000065.html
000066	2009	Elizabeth Sandifer	University of Florida	Avatari: Disruption and Imago in Video Games	000122	000129	000339	000429	000049	000568	000128	000486	000204	000433	https://digitalhumanities.org/dhq/vol/3/3/000066/000066.html
000067	2009	Stan Ruecker | Milena Radzikowska | Stéfan Sinclair	University of Alberta, Canada | Mount Royal College, Canada | McMaster University, Canada	Designing Data Mining Droplets: New Interface Objects for the Humanities Scholar	000709	000205	000166	000337	000486	000190	000169	000173	000402	000406	https://digitalhumanities.org/dhq/vol/3/3/000067/000067.html
000068	2010	Amélie Zöllner-Weber	Uni Digital, Bergen, Norway	Ontologies and Logic Reasoning as Tools in Humanities?	000145	000146	000019	000196	000078	000250	000727	000044	000126	000026	https://digitalhumanities.org/dhq/vol/3/4/000068/000068.html
000069	2010	Kari Kraus	College of Information Studies and Department of English, University of Maryland	Conjectural Criticism: Computing Past and Future Texts	000730	000042	000231	000618	000263	000622	000315	000111	000012	000343	https://digitalhumanities.org/dhq/vol/3/4/000069/000069.html
000070	2010	Melissa M. Terras	Department of Information Studies, University College London	The Potential and Problems in using High Performance Computing in the Arts and Humanities: the Researching e-Science Analysis of Census Holdings (ReACH) Project.	000133	000472	000184	000074	000047	000597	000666	000481	000622	000134	https://digitalhumanities.org/dhq/vol/3/4/000070/000070.html
000071	2010	Peter Ainsworth | Michael Meredith	Dept of French and Humanities Research Institute, University of Sheffield | Humanities Research Institute, University of Sheffield	e-Science for Medievalists: Options, Challenges, Solutions and Opportunities	000029	000173	000125	000546	000159	000374	000123	000027	000047	000462	https://digitalhumanities.org/dhq/vol/3/4/000071/000071.html
000072	2010	Nicolas Gold	King's College London, Department of Computer Science	Service-Oriented Software in the Humanities: A Software Engineering Perspective	000620	000127	000184	000119	000019	000047	000074	000546	000375	000055	https://digitalhumanities.org/dhq/vol/3/4/000072/000072.html
000073	2010	John Unsworth	Graduate School of Library and Information Science, University of Illinois, Urbana-Champaign	The Making of "Our Cultural Commonwealth"	000350	000477	000473	000184	000319	000174	000090	000038	000198	000133	https://digitalhumanities.org/dhq/vol/3/4/000073/000073.html
000074	2010	Gregory Sporton	Director, Visualisation Research Unit, School of Art, Birmingham City University	The "e" Prefix: e-Science, e-Art & the New Creativity	000145	000167	000134	000070	000095	000379	000359	000133	000409	000311	https://digitalhumanities.org/dhq/vol/3/4/000074/000074.html
000075	2010	Ray Siemens | Cara Leitch | Analisa Blake | Karin Armstrong | John Willinsky	University of Victoria | University of Victoria | University of Victoria | University of Victoria | University of British Columbia/Stanford	"It May Change My Understanding of the Field": Understanding Reading Tools for Scholars and Professional Readers	000510	000128	000178	000387	000203	000157	000700	000169	000573	000310	https://digitalhumanities.org/dhq/vol/3/4/000075/000075.html
000076	2010	Angela Piccini	University of Bristol	Locating Grid Technologies: Performativity, Place, Space: Challenging the Institutionalized Spaces of e-Science	000375	000184	000080	000029	000014	000077	000386	000047	000079	000179	https://digitalhumanities.org/dhq/vol/3/4/000076/000076.html
000077	2010	Christine L. Borgman	Professor & Presidential Chair in Information Studies, UCLA	The Digital Future is Now: A Call to Action for the Humanities	000177	000311	000080	000133	000167	000119	000055	000079	000114	000163	https://digitalhumanities.org/dhq/vol/3/4/000077/000077.html
000078	2010	Mark Hedges	Centre for e-Research, King’s College London	Grid-enabling Humanities Datasets	000026	000123	000019	000184	000454	000145	000111	000031	000181	000090	https://digitalhumanities.org/dhq/vol/3/4/000078/000078.html
000079	2010	Stuart Dunn | Tobias Blanke	Centre for e-Research, King's College London | Centre for e-Research, King's College London	Digital Humanities Quarterly Special Cluster on Arts and Humanities e-Science	000133	000055	000311	000177	000080	000077	000076	000050	000127	000167	https://digitalhumanities.org/dhq/vol/3/4/000079/000079.html
000080	2010	Patrik Svensson	HUMlab, Umeå University	The Landscape of Digital Humanities	000133	000077	000076	000311	000079	000055	000177	000167	000074	000193	https://digitalhumanities.org/dhq/vol/4/1/000080/000080.html
000081	2010	Belinda Barnet	Lecturer in Media at Swinburne University Melbourne, in association with Smart Services CRC.	Crafting the User-Centered Document Interface: The Hypertext Editing System (HES) and the File Retrieval and Editing System (FRESS)	000136	000173	000091	000304	000238	000310	000184	000481	000080	000019	https://digitalhumanities.org/dhq/vol/4/1/000081/000081.html
000082	2010	Domenico Fiormonte | Valentina Martiradonna | Desmond Schmidt	Università Roma Tre, Dipartimento di Italianistica | Università di Roma, La Sapienza | Queensland University of Technology, Information Security Institute	Digital Encoding as a Hermeneutic and Semiotic Act: The Case of Valerio Magrelli	000368	000323	000295	000342	000170	000211	000328	000291	000300	000042	https://digitalhumanities.org/dhq/vol/4/1/000082/000082.html
000083	2010	Susan Schreibman | Ann M. Hanlon	Digital Humanities Observatory | Marquette University	Determining Value for Digital Humanities Tools: Report on a Survey of Tool Developers	000091	000121	000081	000005	000542	000351	000085	000224	000119	000457	https://digitalhumanities.org/dhq/vol/4/2/000083/000083.html
000084	2010	Sarah Buchanan	The Meadows School	Accessioning the Digital Humanities: Report from the 1st Archival Education and Research Institute	000227	000179	000640	000404	000483	000660	000173	000701	000306	000215	https://digitalhumanities.org/dhq/vol/4/1/000084/000084.html
000085	2010	Doug Reside	University of Maryland, College Park	A review of Noah Wardrip-Fruin’s Expressive Processing: Digital Fictions, Computer Games, and Software Studies	000047	000402	000238	000056	000339	000314	000391	000304	000119	000486	https://digitalhumanities.org/dhq/vol/4/2/000085/000085.html
000086	2010	Sharon Irish | Wendy Plotkin	Interim Director, Community Informatics Initiative, Graduate School of Library and Information Science, University of Illinois, Urbana-Champaign | Editor-in-Chief, H-Urban	History, People, and Informatics: A Conversation between Sharon Irish and Wendy Plotkin	000329	000317	000634	000127	000188	000471	000135	000105	000257	000131	https://digitalhumanities.org/dhq/vol/4/2/000086/000086.html
000087	2010	Manuel Portela	University of Coimbra	The Machine in the Text, and the Text in the Machine	000046	000325	000018	000162	000017	000207	000165	000693	000616	000160	https://digitalhumanities.org/dhq/vol/4/1/000087/000087.html
000088	2010	Arianna Ciula	Independent Scholar	The New Edition of the Letters of Vincent van Gogh on the Web	000150	000051	000013	000029	000020	000007	000047	000231	000014	000052	https://digitalhumanities.org/dhq/vol/4/2/000088/000088.html
000089	2010	Jerome McDonough | Matthew Kirschenbaum | Doug Reside | Neil Fraistat | Dennis Jerz	Graduate School of Library and Information Science, University of Illinois at Urbana-Champaign | Maryland Institute for Technology in the Humanities, University of Maryland | Maryland Institute for Technology in the Humanities, University of Maryland | Maryland Institute for Technology in the Humanities, University of Maryland | English — New Media Journalism, Seton Hill University	Twisty Little Passages Almost All Alike: Applying the FRBR Model to a Classic Computer Game	000631	000661	000701	000461	000450	000415	000321	000455	000202	000307	https://digitalhumanities.org/dhq/vol/4/2/000089/000089.html
000090	2011	Patrik Svensson	HUMlab, Umeå University	From Optical Fiber To Conceptual Cyberinfrastructure	000319	000184	000198	000078	000477	000597	000029	000322	000174	000468	https://digitalhumanities.org/dhq/vol/5/1/000090/000090.html
000091	2011	Johanna Drucker	Breslauer Professor of Bibliographical Studies Department of Information Studies, UCLA	Humanities Approaches to Graphical Display	000083	000386	000178	000415	000337	000452	000067	000060	000397	000205	https://digitalhumanities.org/dhq/vol/5/1/000091/000091.html
000092	2011	J.J. Butts	Assistant Professor of English, Wartburg College	Missed Connections: The Collective Novel and the Metropolis	000094	000096	000097	000145	000063	000300	000150	000128	000283	000502	https://digitalhumanities.org/dhq/vol/5/2/000092/000092.html
000093	2011	Molly Gage	University of Minnesota	Winesburg, Ohio: A Modernist Kluge	000097	000332	000140	000259	000300	000289	000096	000183	000005	000271	https://digitalhumanities.org/dhq/vol/5/2/000093/000093.html
000094	2011	Wesley Beal	Lyon College	Network Narration in John Dos Passos’s U.S.A. Trilogy	000092	000300	000096	000097	000562	000283	000188	000062	000604	000011	https://digitalhumanities.org/dhq/vol/5/2/000094/000094.html
000095	2011	Wendell Piez	Senior Consultant, Mulberry Technologies, Inc.	Impractical Applications	000112	000167	000134	000020	000213	000145	000418	000077	000127	000080	https://digitalhumanities.org/dhq/vol/5/1/000095/000095.html
000096	2011	Stacy Lavin	Independent Scholar	"The Globe is All One": Wars I Have Seen as Proto-Network Narrative	000093	000150	000140	000161	000094	000092	000099	000616	000158	000097	https://digitalhumanities.org/dhq/vol/5/2/000096/000096.html
000097	2011	Wesley Beal | Stacy Lavin	Lyon College | Independent Scholar	Theorizing Connectivity: Modernism and the Network Narrative	000244	000140	000188	000300	000044	000105	000183	000262	000263	000012	https://digitalhumanities.org/dhq/vol/5/2/000097/000097.html
000098	2011	Aaron Kashtan	Department of English University of Florida	Forward to the Past: Nostalgia for Handwriting in Scribblenauts and The World Ends with You	000394	000457	000122	000115	000140	000307	000106	000150	000356	000339	https://digitalhumanities.org/dhq/vol/5/3/000098/000098.html
000099	2011	Maria Engberg | Jay David Bolter	Blekinge Institute of Technology | Georgia Institute of Technology	Digital Literature and the Modernist Problem	000140	000150	000020	000051	000188	000005	000046	000193	000317	000197	https://digitalhumanities.org/dhq/vol/5/3/000099/000099.html
000100	2011	Gregory L. Ulmer	Professor of English and Media Studies University of Florida, Gainesville	Avatar Emergency	000085	000122	000193	000172	000153	000020	000118	000004	000402	000429	https://digitalhumanities.org/dhq/vol/5/3/000100/000100.html
000101	2011	Aaron Kashtan	Department of English, University of Florida	Because It's Not There: Ekphrasis and the Threat of Graphics in Interactive Fiction	000400	000129	000486	000402	000200	000385	000066	000415	000122	000165	https://digitalhumanities.org/dhq/vol/5/1/000101/000101.html
000102	2011	Helen J. Burgess | Jeanne Hamming	University of Maryland Baltimore County | Centenary College of Louisiana	New Media in the Academy: Labor and the Production of Knowledge in Scholarly Multimedia	000456	000146	000014	000115	000047	000150	000020	000212	000025	000159	https://digitalhumanities.org/dhq/vol/5/3/000102/000102.html
000103	2011	Brian Greenspan	Carleton University	The New Place of Reading: Locative Media and the Future of Narrative	000115	000108	000564	000616	000619	000386	000140	000389	000162	000189	https://digitalhumanities.org/dhq/vol/5/3/000103/000103.html
000104	2011	John Cayley	Brown University	Writing to be Found and Writing Readers	000434	000481	000317	000250	000146	000165	000291	000503	000126	000461	https://digitalhumanities.org/dhq/vol/5/3/000104/000104.html
000105	2011	Phillip H. Gochenour	Towson University	Nodalism	000026	000196	000604	000146	000195	000145	000244	000097	000127	000415	https://digitalhumanities.org/dhq/vol/5/3/000105/000105.html
000106	2011	Paul Fyfe	Florida State University	Digital Pedagogy Unplugged	000193	000118	000394	000437	000014	000150	000532	000215	000120	000397	https://digitalhumanities.org/dhq/vol/5/3/000106/000106.html
000107	2011	James Smithies	University of Canterbury, New Zealand	A View from IT	000181	000184	000350	000054	000014	000460	000322	000078	000070	000319	https://digitalhumanities.org/dhq/vol/5/3/000107/000107.html
